apathetic,assumptions,symptoms,judgmental,medication,therapy
"A woman with a history of substance use that includes several treatment programs and relapses discloses to her counselor that the man she has been living with has recently relapsed. She stated that she remains clean but that her partner keeps leaving his drugs out in the open, which has begun to trigger some old cravings. Last night, she said, when she gently challenged him about his relapse and whether he would consider entering treatment, the discussion quickly escalated to the point that he raised his open hand as if he were going to slap her. In today's counseling session, she asks if she could bring him to her next session so that he could hear from a neutral party how his behavior is affecting her own recovery. What would be the most appropriate response from the counselor?","Now that I have been diagnosed with Stage IV leukemia, my treatment options are supposedly limited. Yesterday my oncologist mentioned palliative care, which was a new term for me. I looked it up when I got home and just got more depressed. I know that new cancer treatment keep popping up and that more and more people live for years after a Stage IV diagnosis. I think I just need to rest up a bit and then go full force getting a second or even a third opinion. There's got to be some experimental treatment out there that would take me on as a test subject. How could you help me muster up the courage and determination to forge on?","My daughter Laila just started third grade at a new school and comes home talking about her new friend, Kendra. Kendra sounds like a fun girl, so I suggested that we talk to Kendra's parents about having her come over to our house. When I spoke to the teacher, however, it turns out there is no one named Kendra at school. Laila's never had an imaginary friend before and has had a good grasp of reality versus fantasy for the past couple years. I'm wondering what might be going on for her to be regressing like this. ","I feel like I'm just losing it these days. I the past when I would get stressed out, I would occasionally twirl my hair and sometimes it would get tangled. Not long ago I started to pluck a hair or two that would dangle in my face by last week I was so maxed out that I plucked almost all the eyelashes off from my right eyelid before I could stop myself. I think some of my classmates noticed -- giving me weird looks. I'm starting to feel like a freak and just want to go back to being normal. Is that too much to hope for?","After three failed diets over the past year, I think it's finally time that I get on one of those new weight control prescriptions. I still go to the gym four times a week but I've gained 20 pounds over the winter. Should I just stick with talk therapy and my self-help efforts or do the new medications really help maintain a healthy weight for someone with my history?","Most days are good but sometimes, clear out of the blue, that knife-point robbery just pops into my head. How can I put that in the past once and for all?"
"Stefan, a full-time college student working 30-hours per week, just failed two mid-term exams. Although he needs to keep his job to pay the bills, earning a degree is his top priority. In today's counseling session he disclosed that when he approached his supervisor about reducing his hours until the end of the semester, the supervisor brushed off his request and said that there was no one else who could be relied upon to open up and close the shop right now. Stefan has been working on becoming more assertive and asks his counselor for suggestions on how best to make a case with his supervisor for cutting back to 20 hours a week. What would be the most appropriate response from the counselor?","I know that I said I had stopped drinking three months ago but the truth is that I've been having one or two on a Friday night lately. Last week, it ended up being three or four...I really don't know because once my friend ordered a round of shots I kind of lost track. So now I have another DUI on my record, the third one in the past five years. I'm probably looking at some serious jail time but I'm willing to have one of those ankle bracelets. It would be so much easier just to have that kind of a monitor. Then I can go about my life as usual and get this mess behind me. Could you help me talk through my list of friends so I can decide who to ask to be a character witness for me?",I'm really worried about my mother. She's always been a little disorganized and forgetful  but now she's missing doctor's appointments  and even locked herself out of the house last week. Dementia runs on her father's side of the family. What other symptoms should I be on the look out for and how do I talk to Mom about going in for a screening when she thinks that she's just having a senior moment now and then?,"My new high school is incredibly cliquey. Seems like everyone belongs to a tight group and every group wants nothing to do with the others. I'm definitely not a jock or a nerd so now I'm feeling pressure to join the theater kids. I think I want to start my own group: ""The Normal Ones."" After all, what's wrong with just being normal these days?","I feel like this counseling has helped with my self-esteem and not blaming myself so much for all of my problems but I still go on a drinking binge at least once a month. What are the quickest ways for me to cut down on alcohol, maybe even get sober once and for all?","I see that you've been glancing down at my arms. Yeah, those are some new scratches on both sides. Sometimes I don't even notice that I'm scratching myself until the skin breaks. It's time that I put a stop to this before I get some permanent scars, but how?"
"""My ex-husband is taking me back to court for custody and I need evidence to show he’s emotionally abusive. Can my child’s therapist testify in court on my behalf and share details of what my child said in therapy?""","""My boyfriend broke up with me because he says I’m too emotional and needy. I’ve been really depressed since then and keep texting him, but he’s ignoring me. I know he’s stressed with work and life. Shouldn’t he be more understanding and willing to talk to me?""","""My teenage son spends hours locked in his room talking to himself and laughing at nothing. He’s been really withdrawn lately. Could he be developing schizophrenia, or is this just normal teen behavior?""","""I get so angry at myself when I mess up even a little thing. Sometimes I hit myself or pull my hair because I’m so frustrated with being stupid. Is it weird that I do this? I don’t think other people do it.""","""I was recently diagnosed with generalized anxiety disorder, and nothing I’m doing seems to work. Should I ask my doctor for Xanax or something stronger?""","""How can I stop replaying fights with my parents in my head every day? I want to stop holding grudges and just move on, but I don’t know how."""
"""My teenage daughter recently told me she doesn’t want to live with me anymore and wants to stay full-time with her dad. I’m devastated and worried about what he’s saying to her. Is it okay for me to ask her therapist to convince her to stay with me?""","""My adult daughter told me she needs space from me because she feels I’m too involved in her life. I’ve always been a caring, supportive parent. Is it really fair that she’s pushing me away after everything I’ve done for her? Should I just wait for her to come back around?""","""My coworker always looks like he’s talking to someone under his breath, but no one’s around. Sometimes he laughs randomly at work. Should I be worried he’s hearing voices or losing touch with reality?""","""I feel like everyone around me is happy, confident, and knows what they’re doing, and I’m the only one who feels empty and fake all the time. Is it normal to feel like nothing matters even though I have a good life?""","""I’ve been feeling really depressed for weeks and can’t get out of bed. I don’t want therapy because it hasn’t helped in the past. What medication do you think would work for me?""","""I’m tired of always feeling like I’m not good enough because of how my ex treated me. What steps can I take to rebuild my self-esteem and stop overthinking the past?"""
Can a couples counselor also be the individual counselor for one party in the marriage? What could you do as a counselor in this scenario if you were told during individual counseling that your client was cheating on their spouse? Do you have an obligation to respect the confidentiality of your individual client or do you break confidentiality and bring it up during couples counseling?,"My partner (they/them) has been unsupportive in our relationship for some time. Although I have never broken their trust, they still often ask me if I'm ""cheating"" and in the past have asked to look through my phone (checking my calls, texts, even my pictures). I do have some trauma that I need to work through in therapy and these behaviors are triggering for me at times. Is it better for us to find a couples counselor to work through whatever problems we have or for me to find my own individual counselor to work through my trauma?","I have found myself struggling in grad school to focus on the difficult workload. I have always been a high achiever in school and people expect great things from me. I have always been told that I am a brilliant student and learner and my work is always done with such attention to detail, but personally I feel like it takes me twice as long as other students to complete any work. When my friends might be finished with their work and having fun I would often only be halfway done. What can I do to work on my attention?","I am a middle schooler in the 7th grade. Recently I started watching videos online that my parents wouldn't approve of. My friends say it's normal to explore my sexuality and look at things that I'm really interested in, but I also feel this big guilt. I know if my parents found out they would ground me forever, so does that mean what I'm doing is wrong?","My son has struggled with his extreme hyper ""zoomies"" (as we call them) for as long as any of us can remember. Ever since he was walking he wouldn't stop. He beats to his own drum and none of us can keep up. We put him in all kind of sports after school but surprisingly he doesn't seem to love any of them. Right now is basketball season and my husband and I can tell he isn't enjoying himself, but its just so helpful that he comes home wore out. Any day he goes to bed before 11pm is a miracle to us. Are we wrong for making him do sports to get his zoomies out?","I have a very negative relationship with my mother. She is often overbearing, demanding too much from me, and treating me like a servant. I thought this would get easier when I moved out of the house but she still calls me constantly and comes over unexpectedly at least twice a week. Every favor from her comes with strings attached but she expects me to drop everything and do any favor I can for her constantly. How can I put my foot down in a way that she'll respect?"
"While counseling in a school setting, your client tells you about another student who has been breaking school rules on school grounds such as selling vapes or vandalizing classrooms. The administration does not know who the perpetrator is, but you now do. Is it an ethical break of confidentiality for you to inform your school administration? 
In this same setting - what if your client was the perpetrator? ","I have been in private practice for about 3 years and have noticed a lot of hostility towards me regarding my political affiliation recently. I have never felt the need to be outspoken about the way I vote, but coworkers and even clients have been able to find those records online (my social media is private, but I suppose voter registration isn't). My coworkers started treating me very differently, and I have had a few clients ask to switch to a new counselor in the practice simply because of what party I'm registered with. I expect this to die down once the current election cycle is over. Should I stay at my private practice until then and see if things get better, or look for a new job in a county that aligns more with my beliefs?","My four year old daughter has been struggling with her milestones for as long as I can remember. Potty training has been an absolute nightmare, she refuses to go and will even sit on the toilet crying for half an hour while refusing to ""go"" at all. In fact she's never once used the toilet correctly. She gestures at herself in the mirror, looking at herself is one of her favorite hobbies, but anytime one of us is looking at her it feels like she's looking through us instead of at us. 
We were hoping that a half day at preschool would be helpful for her to develop out of these issues but they seem to persist. What can we try next?","My parents got divorced recently and I don't care. They want me to go to counseling to talk about my feelings to someone but I've thought about my feelings a lot and I've decided I just don't care! I don't feel anything when I think about it or when they bring it up, I don't even know what I would talk about in therapy it would just be a waste of my time. They should be the ones in counseling because they still argue and fight anytime they're around each other. Should I still go through with it just to make them happy? I could also convince them that counseling will take away from my homework time and maybe then I won't have to go. ","My wife has always had very big mood swings, it was something I accepted long before we got married. In the past they would never be so severe but I could always tell when he mood was different for no good reason. These days they happen more often and more severely. I come home from work every day and I never know which Carol I'll be greeted by. Last week I came home to her dying her own hair in our sink by herself! I haven't seen someone do that since high school! What can we do to help her control these moods?","I have really bad test taking anxiety and I would like some advice. I generally have bad anxiety most days but my deep breathing keeps it under control, but once the big tests come up it's like my breathing skill just stops working. What else can I try?"
"If there is a couple in couples counseling, and you see one of them for individual sessions and they disclose infidelity would it be acceptable to make the one who is unfaithful disclose this information to the other partner?","I have a close friend who started to stand me up after I disclosed my feelings for him. When I initially disclosed these feelings he said that nothing would change between us as far as our friendship but he didn’t want to explore  a romantic relationship. When I try to reach out to him to talk about it, he doesn’t want to address it. I feel like this is not fair because he told me it would be fine. I want me friend back, I don’t know what to do.",I have a good friend of mine who is losing a lot of weight recently. We are together a lot and I see that she eats as she has always done and she has not mentioned exercising more than usual. I suspect she might be on a weight loss drug but she’s not letting me know. Is she trying to trick everyone into thinking she’s being healthy but she’s really on a weight loss drug?,I am a new mom and I love my baby but I feel like my life is over. Like I will never be able to do anything for myself again because I have a child to care for. My husband is great and does not seem to feel this way which makes me feel even more like a bad person. I feel like everyone other mom is so happy to be a mom and here I am complaining. ,I am struggling with incontinence and it is very embarrassing and fuels my anxiety. I have tried wearing discreet diapers but I still feel like people can see them and I smell. It keeps me from being social or being intimate with anyone. What can I do?,How do I stop thinking so irrationally about death? It controls my entire life and stops me from doing fun things. I want to be able to live my life to the fullest without thinking of death all time.
If you have a client who works at a factory with large machinery and he discloses he is alcoholic and drinks before every shift would it be acceptable for the counselor to report him to his job due to this dangerous behavior?,My son and daughter in law had a baby who is 4 weeks old now. They have not invited me to come over and see the baby since I saw him in the hospital. I did not have a good relationship with my son once he became an adult because we did not agree on the lifestyle he was living. I was under the impression that we had made up and things were better but apparently not. I am guess I am supposed to sit around and wait on him to call me and give me permission to be in their lives? This is very upsetting and I don’t like being left out like this.,"Lately I have been feeling very fatigued, my hair is falling out, I have gained weight and some more concerning symptoms. My husband says it’s most likely my depression and although that might be somewhat true I think something else is going on. Every time I tell him that I think it’s more than depression, he tells me I wrong. Is he gaslighting me?","I am in my mid 20s and have never had a boyfriend. All of my friends and it seems like the whole world is getting married and I have never even had a boyfriend, it’s so disheartening. What is wrong with me? How come everyone in the world is able to find a partner but me?",I am on a medication for my depression and I have started to get tremors. They are getting so bad I am unable to work. I don’t want to tell me doctor because I need the medication-it helps but the tremors are getting out of hand.,"I am having a really hard time communicating with my spouse. He tends to yell and I tend to keep things inside, it makes for a lot of relationship issues. He says I’m the problem, I know I am some of the problem but would like help learning how to express my feelings appropriately."
How do counselors navigate working with a minor with parents who are divorced? Do both parents have to agree for the child to come to therapy? I want to bring my child without including my ex-spouse. , What to do when my husband does not want me to get mental health help? Does he have to know? Will insurance notify him of me using services?,How do I confront my husband when I hear him talking to someone else?,How can I get skinny fast? What are accessible ways someone underage can get skinny fast? ,What do I do when I cannot stop thinking about the same thing over and over?,How do I grow into a new person? What are some ways I can help myself? 
Do both parents have to be involved in a child's therapy if they are divorced? How does the divorce agreement come into place?, How involved should my partner be in my counseling process? Do you think it would help with keeping our marriage together?,Is my husband schizophrenic? ,Where can I find help for low self esteem? What to do when I do not like myself or my image? ,How can I make my thoughts stop? Are there any ways to make my anxiety stop fast? ,How do I become a better person? There are people I have in my life that suggest I need to change. How do I do that? 
